"Repository","Commit","Date","Month","Category","Language","Path","Additions","Deletions","Net"
"Backend","5db2a76","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application-dev.yml","10","0","10"
"Backend","5db2a76","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application-prod.template.yml","11","10","1"
"Backend","5db2a76","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application-template.yml","12","1","11"
"Backend","5db2a76","2026-07-02","2026-07","JavaTest","Java","src/test/java/com/southstand/common/result/ResultTests.java","50","0","50"
"Backend","81e21cf","2026-07-02","2026-07","Documentation","Markdown","docs/02_REQUIREMENT_SCOPE.md","1","1","0"
"Backend","81e21cf","2026-07-02","2026-07","Documentation","Markdown","docs/04_BACKEND_ARCHITECTURE.md","1","1","0"
"Backend","81e21cf","2026-07-02","2026-07","Documentation","Markdown","docs/05_DATABASE_SCHEMA.md","2","2","0"
"Backend","81e21cf","2026-07-02","2026-07","Documentation","Markdown","docs/06_API_SPEC.md","1","1","0"
"Backend","81e21cf","2026-07-02","2026-07","Documentation","Markdown","docs/07_AUTH_SECURITY.md","5","17","-12"
"Backend","81e21cf","2026-07-02","2026-07","Documentation","Markdown","docs/10_AI_CODING_RULES.md","2","0","2"
"Backend","81e21cf","2026-07-02","2026-07","Documentation","Markdown","docs/11_VALIDATION_AND_SMOKE_GUIDE.md","39","4","35"
"Backend","81e21cf","2026-07-02","2026-07","Documentation","Markdown","docs/12_CODEX_TASK_PLAN.md","18","5","13"
"Backend","81e21cf","2026-07-02","2026-07","Documentation","Markdown","README.md","19","0","19"
"Backend","81e21cf","2026-07-02","2026-07","SqlMapper","SQL","scripts/sql/seed.sql","35","22","13"
"Backend","81e21cf","2026-07-02","2026-07","Script","PowerShell","scripts/windows/check-t04.ps1","175","0","175"
"Backend","81e21cf","2026-07-02","2026-07","Script","PowerShell","scripts/windows/smoke-onboarding.ps1","155","0","155"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/follow/controller/FollowController.java","27","0","27"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/follow/dto/FollowToggleRequest.java","31","0","31"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/follow/entity/FollowRecord.java","74","0","74"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/follow/mapper/FollowRecordMapper.java","7","0","7"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/follow/service/FollowService.java","232","0","232"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/follow/vo/FollowToggleResponse.java","59","0","59"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/football/player/entity/FootballPlayer.java","120","0","120"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/football/player/entity/TeamPlayer.java","92","0","92"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/football/player/mapper/FootballPlayerMapper.java","7","0","7"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/football/player/mapper/TeamPlayerMapper.java","7","0","7"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/football/team/entity/FootballTeam.java","110","0","110"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/football/team/mapper/FootballTeamMapper.java","7","0","7"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/onboarding/controller/OnboardingController.java","34","0","34"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/onboarding/dto/SavePreferencesRequest.java","38","0","38"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/onboarding/service/OnboardingService.java","230","0","230"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/onboarding/vo/OnboardingOptionsVO.java","44","0","44"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/onboarding/vo/PlayerOptionVO.java","68","0","68"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/onboarding/vo/SavePreferencesResponse.java","41","0","41"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/onboarding/vo/TeamOptionVO.java","59","0","59"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/controller/UserProfileController.java","24","0","24"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/service/UserProfileService.java","197","0","197"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/vo/FollowStatsVO.java","41","0","41"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/vo/PlayerBriefVO.java","59","0","59"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/vo/TeamBriefVO.java","32","0","32"
"Backend","81e21cf","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/vo/UserProfileVO.java","116","0","116"
"Backend","81e21cf","2026-07-02","2026-07","JavaTest","Java","src/test/java/com/southstand/follow/FollowServiceTests.java","73","0","73"
"Backend","81e21cf","2026-07-02","2026-07","JavaTest","Java","src/test/java/com/southstand/onboarding/OnboardingServiceTests.java","153","0","153"
"Backend","81e21cf","2026-07-02","2026-07","JavaTest","Java","src/test/java/com/southstand/user/UserProfileServiceTests.java","70","0","70"
"Backend","960ca2a","2026-07-02","2026-07","Documentation","Markdown","docs/09_DEPLOYMENT_GUIDE.md","7","1","6"
"Backend","960ca2a","2026-07-02","2026-07","Documentation","Markdown","docs/10_AI_CODING_RULES.md","8","0","8"
"Backend","960ca2a","2026-07-02","2026-07","Documentation","Markdown","docs/11_VALIDATION_AND_SMOKE_GUIDE.md","47","0","47"
"Backend","960ca2a","2026-07-02","2026-07","Documentation","Markdown","docs/12_CODEX_TASK_PLAN.md","18","0","18"
"Backend","960ca2a","2026-07-02","2026-07","Configuration","XML","pom.xml","117","0","117"
"Backend","960ca2a","2026-07-02","2026-07","Documentation","Markdown","README.md","40","1","39"
"Backend","960ca2a","2026-07-02","2026-07","Script","Shell","scripts/linux/check-backend.sh","8","0","8"
"Backend","960ca2a","2026-07-02","2026-07","Documentation","Markdown","scripts/linux/README.md","18","5","13"
"Backend","960ca2a","2026-07-02","2026-07","Script","Shell","scripts/linux/run-backend.sh","26","0","26"
"Backend","960ca2a","2026-07-02","2026-07","Script","Shell","scripts/linux/stop-backend.sh","19","0","19"
"Backend","960ca2a","2026-07-02","2026-07","Script","PowerShell","scripts/windows/build.ps1","2","0","2"
"Backend","960ca2a","2026-07-02","2026-07","Script","PowerShell","scripts/windows/check-t01.ps1","137","0","137"
"Backend","960ca2a","2026-07-02","2026-07","Script","PowerShell","scripts/windows/run-dev.ps1","2","0","2"
"Backend","960ca2a","2026-07-02","2026-07","Script","PowerShell","scripts/windows/smoke-health.ps1","2","0","2"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/api/HealthController.java","35","0","35"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/card/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/config/OpenApiConfig.java","20","0","20"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/config/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/config/SecurityConfig.java","40","0","40"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/config/WebConfig.java","18","0","18"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/constant/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/enums/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/exception/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/result/Result.java","57","0","57"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/utils/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/content/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/follow/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/football/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/infrastructure/client/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/infrastructure/file/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/interaction/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/onboarding/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/recommend/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/SouthStandApplication.java","21","0","21"
"Backend","960ca2a","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/package-info.java","1","0","1"
"Backend","960ca2a","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application.yml","14","0","14"
"Backend","960ca2a","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application-dev.yml","11","0","11"
"Backend","960ca2a","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application-prod.template.yml","25","0","25"
"Backend","960ca2a","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application-template.yml","13","0","13"
"Backend","960ca2a","2026-07-02","2026-07","JavaTest","Java","src/test/java/com/southstand/SouthStandApplicationTests.java","12","0","12"
"Backend","3c84c29","2026-07-03","2026-07","Documentation","Markdown","docs/06_API_SPEC.md","39","0","39"
"Backend","3c84c29","2026-07-03","2026-07","Documentation","Markdown","docs/07_AUTH_SECURITY.md","19","0","19"
"Backend","3c84c29","2026-07-03","2026-07","Documentation","Markdown","docs/11_VALIDATION_AND_SMOKE_GUIDE.md","28","2","26"
"Backend","3c84c29","2026-07-03","2026-07","Documentation","Markdown","docs/12_CODEX_TASK_PLAN.md","31","0","31"
"Backend","3c84c29","2026-07-03","2026-07","Documentation","Markdown","README.md","25","0","25"
"Backend","3c84c29","2026-07-03","2026-07","SqlMapper","SQL","scripts/sql/seed.sql","18","6","12"
"Backend","3c84c29","2026-07-03","2026-07","Script","PowerShell","scripts/windows/check-t08.ps1","185","0","185"
"Backend","3c84c29","2026-07-03","2026-07","Script","PowerShell","scripts/windows/smoke-user-admin.ps1","218","0","218"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/controller/AdminContentController.java","43","0","43"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/controller/AdminDashboardController.java","24","0","24"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/controller/AdminUserController.java","42","0","42"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/dto/AdminContentStatusRequest.java","23","0","23"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/dto/AdminUserStatusRequest.java","23","0","23"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/entity/AdminOperationLog.java","52","0","52"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/mapper/AdminOperationLogMapper.java","9","0","9"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/service/AdminService.java","322","0","322"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/vo/AdminContentVO.java","44","0","44"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/vo/AdminDashboardSummaryVO.java","36","0","36"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/vo/AdminStatusUpdateVO.java","20","0","20"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/vo/AdminUserVO.java","44","0","44"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/controller/UserProfileController.java","44","0","44"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/dto/UpdateMyProfileRequest.java","41","0","41"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/service/UserProfileService.java","296","6","290"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/vo/MyCommentVO.java","35","0","35"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/vo/MyContentVO.java","41","0","41"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/vo/MyFavoriteVO.java","38","0","38"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/vo/MyProfileUpdateVO.java","21","0","21"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/vo/MyStatsVO.java","68","0","68"
"Backend","3c84c29","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/vo/UserSummaryVO.java","47","0","47"
"Backend","3c84c29","2026-07-03","2026-07","JavaTest","Java","src/test/java/com/southstand/admin/AdminServiceTests.java","78","0","78"
"Backend","3c84c29","2026-07-03","2026-07","JavaTest","Java","src/test/java/com/southstand/user/UserProfileServiceTests.java","7","1","6"
"Backend","8c62770","2026-07-03","2026-07","Documentation","Markdown","docs/06_API_SPEC.md","41","0","41"
"Backend","8c62770","2026-07-03","2026-07","Documentation","Markdown","docs/11_VALIDATION_AND_SMOKE_GUIDE.md","25","0","25"
"Backend","8c62770","2026-07-03","2026-07","Documentation","Markdown","docs/12_CODEX_TASK_PLAN.md","27","0","27"
"Backend","8c62770","2026-07-03","2026-07","Documentation","Markdown","README.md","17","0","17"
"Backend","8c62770","2026-07-03","2026-07","SqlMapper","SQL","scripts/sql/seed.sql","2","1","1"
"Backend","8c62770","2026-07-03","2026-07","Script","PowerShell","scripts/windows/check-t07.ps1","180","0","180"
"Backend","8c62770","2026-07-03","2026-07","Script","PowerShell","scripts/windows/smoke-feed.ps1","139","0","139"
"Backend","8c62770","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/card/controller/FeedController.java","39","0","39"
"Backend","8c62770","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/card/service/FeedService.java","601","0","601"
"Backend","8c62770","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/card/vo/FeedCardVO.java","95","0","95"
"Backend","8c62770","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/card/vo/FeedPageResult.java","37","0","37"
"Backend","8c62770","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/card/vo/HotLeagueVO.java","27","0","27"
"Backend","8c62770","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/card/vo/RelationTagVO.java","18","0","18"
"Backend","8c62770","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/config/SecurityConfig.java","1","0","1"
"Backend","8c62770","2026-07-03","2026-07","JavaTest","Java","src/test/java/com/southstand/card/FeedServiceTests.java","253","0","253"
"Backend","cb7e531","2026-07-03","2026-07","Documentation","Markdown","docs/06_API_SPEC.md","36","0","36"
"Backend","cb7e531","2026-07-03","2026-07","Documentation","Markdown","docs/11_VALIDATION_AND_SMOKE_GUIDE.md","24","0","24"
"Backend","cb7e531","2026-07-03","2026-07","Documentation","Markdown","docs/12_CODEX_TASK_PLAN.md","30","0","30"
"Backend","cb7e531","2026-07-03","2026-07","Documentation","Markdown","README.md","22","0","22"
"Backend","cb7e531","2026-07-03","2026-07","SqlMapper","SQL","scripts/sql/seed.sql","26","11","15"
"Backend","cb7e531","2026-07-03","2026-07","Script","PowerShell","scripts/windows/check-t06.ps1","180","0","180"
"Backend","cb7e531","2026-07-03","2026-07","Script","PowerShell","scripts/windows/smoke-football.ps1","144","0","144"
"Backend","cb7e531","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/config/SecurityConfig.java","9","0","9"
"Backend","cb7e531","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/football/event/entity/MatchEvent.java","51","0","51"
"Backend","cb7e531","2026-07-03","2026-07","JavaBusiness","Java","src/main/java/com/southstand/football/event/mapper/MatchEventMapper.java","9","0","9"
